Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BRN,,,,,,,,,,,,,,,,,,,6.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,
IDN,,,,,,,21.50416667,21.66666667,22.0975,21.69916667,20.825,25.53333333,24.03333333,20.58666667,17.76,18.85166667,19.2175,21.8175,32.15416667,27.6625,18.455,18.5475,18.945,16.935,14.12416667,14.05083333,15.97916667,13.86166667,13.59833333,14.49833333,13.25166667,12.40333333,11.795,11.6575,12.605,12.6625,11.88833333,11.07333333,10.53666667,10.36583333,
KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,,,,,,,,,,,,26,26,25.33,24,25.67,27,,29.27833333,32,32,26.16666667,29.33333333,30.5,29.25,26.83333333,30,28.5,24,24.775,22.6125,,,,,,,,,,
MMR,,,,,,,,,,,,,,,20.30769231,20.30769231,20.30769231,20.30769231,20.30769231,19.84615385,18.76923077,18.46153846,18.46153846,18.46153846,18.46153846,18.46153846,19.79487179,20.92307692,20.92307692,20.92307692,20.92307692,20.1025641,16,16,16,16,16,16,16,16,
MYS,10.13,11.89,12.395,11.775,12.21,12.5525,12.23833333,10.3625,9.3,8.895833333,8.785833333,9.3475,10.16166667,10.03083333,8.764166667,8.73,9.943333333,10.62833333,12.13416667,8.563333333,7.673333333,7.126666667,6.528333333,6.300833333,6.045833333,5.9525,6.485833333,6.409166667,6.08,5.084166667,5,4.915,4.785833333,4.6498,4.587025,4.565375,4.531066667,4.608078086,4.928440385,4.876892949,
PHL,14,15.33508333,18.12,19.23791667,28.19516667,28.61166667,17.53375,13.33791667,15.92133333,19.26966667,24.11808333,23.07358333,19.47908333,14.68275,15.05683333,14.68216667,14.83975,16.27575,16.77741667,11.77625,10.90725,12.40158333,9.1385,9.471666667,10.079,10.18491667,9.778666667,8.691416667,8.751083333,8.566166667,7.672666667,6.66325,5.6795,5.766833333,5.525916667,5.57825,5.642,5.62725,6.1185,7.095833333,
SGP,11.72166667,13.645,10.22833333,9.050833333,9.719166667,8.064166667,6.82,6.1,5.964166667,6.211666667,7.3625,7.583333333,5.9525,5.388333333,5.878333333,6.369166667,6.26,6.3225,7.441666667,5.8,5.833333333,5.648333333,5.345833333,5.306666667,5.3,5.3,5.3125,5.33,5.38,5.38,5.38,5.38,5.38,5.38,5.35,5.35,5.35,5.28,5.33,5.25,5.25
THA,16.14583333,17.20833333,16.95833333,15.20833333,16.79166667,16.08333333,13.375,11.54166667,11.58333333,12.25,14.41666667,15.39583333,12.16666667,11.16666667,10.89583333,13.25,13.39583333,13.64583333,14.41666667,8.979166667,7.833333333,7.270833333,,,4.553087157,4.719350058,6.273807285,6.046568362,5.821888193,4.775997541,4.334039919,5.067567613,5.187314107,5.060433601,4.949152148,4.731874989,4.468345523,4.416582833,4.146666667,4.084166667,
TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.04416667,12.21083333,12.41416667,12.86666667,13.49666667,14.04833333,13.28666667,13.45630144,15.36218033,
VNM,,,,,,,,,,,,,,32.1825,,,20.1,14.41666667,14.4,12.7,10.55,9.42,9.061666667,9.48,9.7225,11.025,11.17625,11.18,15.78357143,10.069,13.13525,16.95383333,13.47166667,10.37416667,8.665,7.1175,6.96,7.0675,7.371875,7.7075,7.9375
